"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 16:35:05 CST 2024","Mon Aug 26 16:35:05 CST 2024","80","testcase","test_case","TestQitanApi","","","查询公司的指标数据",""
"passed","Mon Aug 26 16:35:08 CST 2024","Mon Aug 26 16:35:08 CST 2024","41","testcase","test_case","TestQitanApi","","","行业管理熵发展",""
"passed","Mon Aug 26 16:34:58 CST 2024","Mon Aug 26 16:34:58 CST 2024","194","testcase","test_case","TestQitanApi","","","企业核心财务数据",""
"passed","Mon Aug 26 16:35:31 CST 2024","Mon Aug 26 16:35:35 CST 2024","3830","testcase","test_case","TestQitanApi","","","利润表上插入数据",""
"passed","Mon Aug 26 16:35:11 CST 2024","Mon Aug 26 16:35:14 CST 2024","3443","testcase","test_case","TestQitanApi","","","行业竞争梯队",""
"passed","Mon Aug 26 16:35:19 CST 2024","Mon Aug 26 16:35:21 CST 2024","1229","testcase","test_case","TestQitanApi","","","产业链保存产品",""
"passed","Mon Aug 26 16:35:15 CST 2024","Mon Aug 26 16:35:15 CST 2024","536","testcase","test_case","TestQitanApi","","","行业分析头部子行业行业龙头",""
"passed","Mon Aug 26 16:35:41 CST 2024","Mon Aug 26 16:35:42 CST 2024","1086","testcase","test_case","TestQitanApi","","","完成开始计算第一步",""
"passed","Mon Aug 26 16:34:56 CST 2024","Mon Aug 26 16:34:56 CST 2024","97","testcase","test_case","TestQitanApi","","","生成报告",""
"passed","Mon Aug 26 16:35:19 CST 2024","Mon Aug 26 16:35:19 CST 2024","30","testcase","test_case","TestQitanApi","","","行业排行榜配置",""
"passed","Mon Aug 26 16:35:21 CST 2024","Mon Aug 26 16:35:21 CST 2024","72","testcase","test_case","TestQitanApi","","","删除产业链",""
"passed","Mon Aug 26 16:37:00 CST 2024","Mon Aug 26 16:37:02 CST 2024","1804","testcase","test_case","TestQitanApi","","","改变角色",""
"passed","Mon Aug 26 16:35:07 CST 2024","Mon Aug 26 16:35:08 CST 2024","730","testcase","test_case","TestQitanApi","","","行业发展趋势",""
"passed","Mon Aug 26 16:35:08 CST 2024","Mon Aug 26 16:35:08 CST 2024","32","testcase","test_case","TestQitanApi","","","行业发展趋势",""
"passed","Mon Aug 26 16:35:16 CST 2024","Mon Aug 26 16:35:18 CST 2024","2317","testcase","test_case","TestQitanApi","","","行业绩效分析",""
"passed","Mon Aug 26 16:35:21 CST 2024","Mon Aug 26 16:35:22 CST 2024","1413","testcase","test_case","TestQitanApi","","","企业排行榜二级页面",""
"passed","Mon Aug 26 16:35:05 CST 2024","Mon Aug 26 16:35:05 CST 2024","32","testcase","test_case","TestQitanApi","","","企业筛选病症",""
"passed","Mon Aug 26 16:34:56 CST 2024","Mon Aug 26 16:34:56 CST 2024","37","testcase","test_case","TestQitanApi","","","公司行业信息",""
"passed","Mon Aug 26 16:34:59 CST 2024","Mon Aug 26 16:34:59 CST 2024","183","testcase","test_case","TestQitanApi","","","经营诊断编辑页",""
"passed","Mon Aug 26 16:35:21 CST 2024","Mon Aug 26 16:35:21 CST 2024","34","testcase","test_case","TestQitanApi","","","企业排行榜模块",""
"passed","Mon Aug 26 16:35:01 CST 2024","Mon Aug 26 16:35:01 CST 2024","34","testcase","test_case","TestQitanApi","","","经营诊退出断编辑页",""
"passed","Mon Aug 26 16:34:48 CST 2024","Mon Aug 26 16:34:48 CST 2024","29","testcase","test_case","TestQitanApi","","","企业行业",""
"passed","Mon Aug 26 16:35:05 CST 2024","Mon Aug 26 16:35:05 CST 2024","34","testcase","test_case","TestQitanApi","",""," 基线制定设置2024年的基线目标",""
"passed","Mon Aug 26 16:35:19 CST 2024","Mon Aug 26 16:35:19 CST 2024","368","testcase","test_case","TestQitanApi","","","产业链分析",""
"passed","Mon Aug 26 16:35:21 CST 2024","Mon Aug 26 16:35:21 CST 2024","61","testcase","test_case","TestQitanApi","","","新建产业链",""
"passed","Mon Aug 26 16:34:56 CST 2024","Mon Aug 26 16:34:56 CST 2024","105","testcase","test_case","TestQitanApi","","","猜你想看列表",""
"passed","Mon Aug 26 16:35:26 CST 2024","Mon Aug 26 16:35:26 CST 2024","319","testcase","test_case","TestQitanApi","","","上传资产负债表的数据",""
"passed","Mon Aug 26 16:34:56 CST 2024","Mon Aug 26 16:34:56 CST 2024","34","testcase","test_case","TestQitanApi","","","查询公司名称及简称",""
"passed","Mon Aug 26 16:34:56 CST 2024","Mon Aug 26 16:34:56 CST 2024","39","testcase","test_case","TestQitanApi","","","核心财务数据",""
